	accession_number	organism_name	path
0	AB681979	Trabulsiella guamensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Trabulsiella
1	DQ453129	Trabulsiella odontotermitis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Trabulsiella
2	HG972968	Enterobacillus tribolii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacillus
3	KP319034	Mangrovibacter phragmitis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Mangrovibacter
4	EF643377	Mangrovibacter plantisponsor	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Mangrovibacter
5	KM089834	Mangrovibacter yixingensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Mangrovibacter
6	AF029227	Salmonella bongori	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella
7	MK942857	Klebsiella indica	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
8	AF008580	Salmonella enterica subsp. arizonae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella
9	EU014680	Salmonella enterica subsp. indica	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella
10	EU014684	Salmonella enterica subsp. houtenae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella
11	EU014688	Salmonella enterica subsp. diarizonae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella
12	EU014685	Salmonella enterica subsp. salamae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella
13	AE006468	Salmonella enterica subsp. enterica	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella
14	AF530475	Escherichia fergusonii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
15	X96963	Shigella flexneri	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella
16	X80725	Escherichia coli	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
17	FR870445	Shigella sonnei	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella
18	KJ787692	Escherichia marmotae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
19	LR745848	Escherichia ruysiae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
20	X96966	Shigella dysenteriae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella
21	AJ508775	Escherichia albertii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
22	HF558388	Shigella boydii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella
23	MK734184	Intestinirhabdus alba	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Intestinirhabdus
24	HQ992945	Citrobacter koseri	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
25	FR870441	Citrobacter amalonaticus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
26	AF025371	Citrobacter farmeri	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
27	MN603664	Citrobacter telavivensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
28	AF025363	Citrobacter rodentium	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
29	AF025364	Citrobacter sedlakii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
30	AB682276	Escherichia hermannii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
31	AY373829	Salmonella subterranea	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella
32	AJ508303	Kosakonia cowanii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia
33	MK040622	Klebsiella africana	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
34	HG933296	Klebsiella quasipneumoniae subsp. quasipneumoniae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
35	AF130982	Klebsiella pneumoniae subsp. ozaenae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
36	MK040621	Klebsiella variicola subsp. tropica	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
37	Y17657	Klebsiella pneumoniae subsp. rhinoscleromatis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
38	HG933295	Klebsiella quasipneumoniae subsp. similipneumoniae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
39	X87276	Klebsiella pneumoniae subsp. pneumoniae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
40	CP010523	Klebsiella variicola subsp. variicola	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
41	AF009171	Klebsiella granulomatis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
42	AJ251469	Enterobacter cloacae subsp. cloacae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
43	AJ417484	Enterobacter cloacae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
44	HQ651841	Enterobacter cloacae subsp. dissolvens	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
45	HQ888848	Enterobacter siamensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
46	JF795013	Kosakonia oryziphila	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia
47	EU672801	Kosakonia arachidis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia
48	EF488759	Kosakonia oryzae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia
49	CP018016	Kosakonia radicincitans	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia
50	KP345901	Kosakonia pseudosacchari	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia
51	JQ001784	Kosakonia sacchari	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia
52	JF795011	Kosakonia oryzendophytica	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia
53	MK567956	Kosakonia quasisacchari	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia
54	LK054215	Siccibacter colletis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Siccibacter
55	DQ273681	Siccibacter turicensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Siccibacter
56	JN657217	Phytobacter massiliensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Phytobacter
57	KX893413	Phytobacter palmae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Phytobacter
58	FJ611881	Phytobacter ursingii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Phytobacter
59	DQ821583	Phytobacter diazotrophicus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Phytobacter
60	AB273741	Citrobacter youngae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
61	LC368255	Enterobacter oligotrophicus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
62	EF059838	Cronobacter dublinensis subsp. lactaridi	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter
63	EF059841	Cronobacter dublinensis subsp. lausannensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter
64	MF118666	Cronobacter dublinensis subsp. dublinensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter
65	EF059891	Cronobacter turicensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter
66	EF059877	Cronobacter universalis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter
67	AJKU01000067	Cronobacter muytjensii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter
68	CAKW01000111	Cronobacter condimenti	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter
69	AJKV01000019	Cronobacter malonaticus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter
70	EF088379	Cronobacter sakazakii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter
71	KX865161	Franconibacter daqui	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Franconibacter
72	DQ273684	Franconibacter pulveris	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Franconibacter
73	DQ273688	Franconibacter helveticus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Franconibacter
74	CP001560	Shimwellia blattae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shimwellia
75	FJ267523	Shimwellia pseudoproteus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shimwellia
76	KF500917	Erwinia teleogrylli	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
77	GQ405202	Erwinia piriflorinigrans	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
78	AB242880	Erwinia pyrifoliae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
79	AJ233410	Erwinia amylovora	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
80	AB546198	Erwinia uzenensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
81	AM055716	Erwinia tasmaniensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
82	MK722097	Mixta tenebrionis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Mixta
83	FN547376	Erwinia aphidicola	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
84	AJ233417	Erwinia rhapontici	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
85	Z96086	Erwinia persicina	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
86	Y13249	Erwinia billingiae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
87	LN624761	Erwinia endophytica	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
88	EU216736	Pantoea eucrina	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
89	JF295057	Pantoea wallisii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
90	DQ504305	Pantoea dispersa	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
91	KJ427829	Pantoea coffeiphila	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
92	AJ233414	Erwinia mallotivora	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
93	JQ809696	Erwinia psidii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
94	Y13250	Erwinia tracheiphila	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
95	KP326384	Mixta intestinalis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Mixta
96	AB907776	Mixta theicola	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Mixta
97	GU810925	Erwinia oleae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
98	KY744694	Izhakiella australiensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Izhakiella
99	KF436763	Izhakiella capsodis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Izhakiella
100	FJ611848	Erwinia gerundensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
101	GQ367478	Mixta calida	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Mixta
102	GQ367483	Mixta gaviniae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Mixta
103	MG923525	Kalamiella piersonii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Kalamiella
104	KM870781	Erwinia iniecta	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
105	FR870447	Erwinia toletana	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
106	GU166291	Erwinia typographi	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
107	AJ233413	Pantoea cypripedii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
108	AJ508302	Enterobacter hormaechei subsp. hormaechei	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
109	MK567958	Enterobacter quasihormaechei	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
110	HF679035	Enterobacter hormaechei subsp. Xiangfangensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
111	AB004748	Pluralibacter gergoviae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pluralibacter
112	AJ010486	Pluralibacter pyrinus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pluralibacter
113	AJ853889	Enterobacter hormaechei subsp. oharae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
114	AJ853890	Enterobacter hormaechei subsp. steigerwaltii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
115	CP017186	Enterobacter hormaechei subsp. hoffmannii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
116	CP017183	Enterobacter hormaechei subsp. xiangfangensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
117	AB681776	Pseudescherichia vulneris	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pseudescherichia
118	HQ122932	Enterobacter bugandensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
119	Z96078	Enterobacter cancerogenus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
120	VTTY00000000	Enterobacter dykesii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
121	MK049964	Enterobacter huaxiensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
122	AJ853891	Enterobacter ludwigii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
123	AB681872	Leclercia adecarboxylata	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Leclercia
124	MK567957	Enterobacter wuhouensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
125	MK049966	Enterobacter chuandaensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
126	ATDT01000040	Cedecea davisae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cedecea
127	AB086230	Cedecea neteri	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cedecea
128	KY797643	Cedecea lapagei	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cedecea
129	GU814270	Enterobacter soli	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
130	VTUC01000000	Enterobacter vonholyi	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
131	LFDQ02000000	Enterobacter quasiroggenkampii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
133	EU721605	Enterobacter mori	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
134	RXRX01000000	Enterobacter quasimori	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
135	AB004744	Enterobacter asburiae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
136	CP017184	Enterobacter roggenkampii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
137	MG832788	Enterobacter sichuanensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
138	MTSO01000000	Enterobacter chengduensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
139	JN175348	Curtobacterium plantarum	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium
140	AJ233423	Pantoea agglomerans	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
141	EU216737	Pantoea conspicua	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
142	EF688012	Pantoea vagans	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
143	EU216735	Pantoea brenneri	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
144	EF688009	Pantoea eucalypti	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
145	AY530795	Pantoea allii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
146	JX986959	Flavobacterium acidificum	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
147	U80196	Pantoea ananatis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
148	EF688010	Pantoea anthophila	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
149	EF688011	Pantoea deleyi	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
150	Y13251	Pantoea stewartii subsp. indologenes	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
151	U80208	Pantoea stewartii subsp. stewartii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
152	EU216734	Pantoea septica	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
153	MLFP01000054	Pantoea rodasii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
154	JF295055	Pantoea rwandensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea
155	DQ838096	Tatumella citrea	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Tatumella
156	JPKR02000005	Tatumella morbirosei	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Tatumella
157	FJ756351	Tatumella punctata	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Tatumella
158	AJ233437	Tatumella ptyseos	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Tatumella
159	FJ756353	Tatumella terrea	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Tatumella
160	EU215774	Tatumella saanichensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Tatumella
161	KF876186	Rosenbergiella collisarenosi	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Rosenbergiella
162	KF876184	Rosenbergiella epipactidis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Rosenbergiella
163	HQ284827	Rosenbergiella nectarea	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Rosenbergiella
164	KF876187	Rosenbergiella australiborealis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Rosenbergiella
165	AB021400	Phaseolibacter flectens	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Phaseolibacter
166	AF310218	Kluyvera cryocrescens	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera
167	AF310217	Kluyvera intermedia	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera
168	AF025368	Citrobacter braakii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
169	AF025369	Citrobacter murliniae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
170	AJ233408	Citrobacter freundii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
171	LT615140	Citrobacter europaeus	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
172	MVFY01000035	Citrobacter portucalensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
173	MN548424	Citrobacter cronae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
174	AF025373	Citrobacter werkmanii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
175	AF025367	Citrobacter gillenii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
176	KP057683	Citrobacter pasteurii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter
177	JN175339	Yokenella regensburgei	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Yokenella
178	JQ070300	Klebsiella michiganensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
179	MN091366	Klebsiella pasteurii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
180	AJ871861	Klebsiella grimontii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
181	MN091365	Klebsiella spallanzanii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
182	AF129440	Klebsiella oxytoca	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
183	AJ508301	Enterobacter kobei	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
184	MH179329	Klebsiella huaxiensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
185	AB762091	Raoultella electrica	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella
186	U78182	Raoultella ornithinolytica	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella
187	AB680712	Raoultella planticola	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella
188	CP002824	Klebsiella aerogenes	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
189	AB680714	Raoultella terrigena	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella
190	AB004749	Lelliottia amnigena	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Lelliottia
191	Z96077	Lelliottia nimipressuralis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Lelliottia
192	KX709881	Lelliottia jeotgali	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Lelliottia
193	AJ233405	Buttiauxella noackiae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Buttiauxella
194	AJ233406	Buttiauxella warmboldiae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Buttiauxella
195	AJ233403	Buttiauxella gaviniae	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Buttiauxella
196	AJ233404	Buttiauxella izardii	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Buttiauxella
197	AJ233400	Buttiauxella agrestis	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Buttiauxella
